x,y,z
125.0,29125.0,155.5
375.0,29125.0,135.699996975
625.0,29125.0,128.479995715
875.0,29125.0,138.550003075
1125.0,29125.0,138.270004285
1375.0,29125.0,132.11000060499998
1625.0,29125.0,118.5
1875.0,29125.0,108.58999632
2125.0,29125.0,107.01999662
2375.0,29125.0,115.069999695
2625.0,29125.0,100.83999632
2875.0,29125.0,99.5
3125.0,29125.0,94.58999634
3375.0,29125.0,91.58999634
3625.0,29125.0,89.98000336
3875.0,29125.0,87.18000031
4125.0,29125.0,87.83999634
4375.0,29125.0,91.93000031
4625.0,29125.0,93.44999695
4875.0,29125.0,109.819999695
5125.0,29125.0,104.76999662
5375.0,29125.0,98.5
5625.0,29125.0,97.19999695
5875.0,29125.0,94.62999725
6125.0,29125.0,91.31999969
6375.0,29125.0,90.91000366
6625.0,29125.0,89.91000366
6875.0,29125.0,88.0
7125.0,29125.0,88.0
7375.0,29125.0,48.12889862
7625.0,29125.0,45.49080032
7875.0,29125.0,42.625048395
8125.0,29125.0,40.07250166
8375.0,29125.0,37.6729517
8625.0,29125.0,8.93549728
8875.0,29125.0,15.085502625
9125.0,29125.0,26.36140251
9375.0,29125.0,36.80850029
9625.0,29125.0,41.891000005
9875.0,29125.0,45.06349993
10125.0,29125.0,47.934999940000004
10375.0,29125.0,49.53600025
10625.0,29125.0,49.72300148
10875.0,29125.0,48.36550188
11125.0,29125.0,47.87950182
11375.0,29125.0,47.13900042
11625.0,29125.0,93.62999725
11875.0,29125.0,92.76999664
12125.0,29125.0,91.04000092
12375.0,29125.0,86.54000092
12625.0,29125.0,81.51999664
12875.0,29125.0,79.91000366
13125.0,29125.0,93.97000122
13375.0,29125.0,100.01999662
13625.0,29125.0,97.75
13875.0,29125.0,100.180000305
14125.0,29125.0,101.129997275
14375.0,29125.0,95.23000336
14625.0,29125.0,111.73000338
14875.0,29125.0,113.01999662
15125.0,29125.0,108.91000368
15375.0,29125.0,100.73000338
15625.0,29125.0,97.73000336
15875.0,29125.0,90.0
16125.0,29125.0,89.80000305
16375.0,29125.0,90.0
16625.0,29125.0,85.5
16875.0,29125.0,82.5
17125.0,29125.0,80.30000305
17375.0,29125.0,79.0
17625.0,29125.0,77.69999695
17875.0,29125.0,76.0
18125.0,29125.0,74.0
18375.0,29125.0,72.19999695
18625.0,29125.0,70.81999969
18875.0,29125.0,69.80000305
19125.0,29125.0,69.0
19375.0,29125.0,68.0
19625.0,29125.0,67.0
19875.0,29125.0,67.0
20125.0,29125.0,69.68000031
20375.0,29125.0,74.06999969
20625.0,29125.0,81.54000092
20875.0,29125.0,91.16000366
21125.0,29125.0,99.58999634
125.0,28875.0,152.42999269
375.0,28875.0,136.67999269
625.0,28875.0,137.83999632
875.0,28875.0,143.300003075
1125.0,28875.0,139.270004285
1375.0,28875.0,126.23000338
1625.0,28875.0,118.23000338
1875.0,28875.0,109.41000368
2125.0,28875.0,116.41000368
2375.0,28875.0,114.379997275
2625.0,28875.0,109.16000368
2875.0,28875.0,98.19999695
3125.0,28875.0,96.38999939
3375.0,28875.0,92.80000305
3625.0,28875.0,90.5
3875.0,28875.0,88.5
4125.0,28875.0,86.08999634
4375.0,28875.0,86.0
4625.0,28875.0,86.61000061
4875.0,28875.0,95.87999725
5125.0,28875.0,102.51999662
5375.0,28875.0,100.180000305
5625.0,28875.0,96.5
5875.0,28875.0,89.68000031
6125.0,28875.0,89.30000305
6375.0,28875.0,89.81999969
6625.0,28875.0,87.61000061
6875.0,28875.0,87.0
7125.0,28875.0,56.337151525
7375.0,28875.0,53.88055229
7625.0,28875.0,51.37700176
7875.0,28875.0,49.21234989
8125.0,28875.0,46.69320035
8375.0,28875.0,44.104249835000005
8625.0,28875.0,-8.007499705
8875.0,28875.0,1.8598518350000006
9125.0,28875.0,20.33200264
9375.0,28875.0,33.8119998
9625.0,28875.0,37.92350173
9875.0,28875.0,40.208000005
10125.0,28875.0,43.427001715
10375.0,28875.0,45.701000215
10625.0,28875.0,45.90800047
10875.0,28875.0,45.463501455
11125.0,28875.0,44.335999965
11375.0,28875.0,43.39100003
11625.0,28875.0,41.05099845
11875.0,28875.0,40.68099817
12125.0,28875.0,38.006501674999996
12375.0,28875.0,35.744998455
12625.0,28875.0,33.081999780000004
12875.0,28875.0,31.401501655
13125.0,28875.0,31.224499700000003
13375.0,28875.0,30.901498795000002
13625.0,28875.0,28.98049831
13875.0,28875.0,27.526000975
14125.0,28875.0,27.130498884999998
14375.0,28875.0,25.022050855
14625.0,28875.0,31.12120056
14875.0,28875.0,32.83679962
15125.0,28875.0,31.660497665
15375.0,28875.0,25.55579948
15625.0,28875.0,22.83864784
15875.0,28875.0,21.10024834
16125.0,28875.0,20.54770088
16375.0,28875.0,19.357252120000002
16625.0,28875.0,17.528951645
16875.0,28875.0,16.34710121
17125.0,28875.0,16.32150078
17375.0,28875.0,79.31999969
17625.0,28875.0,77.0
17875.0,28875.0,75.19999695
18125.0,28875.0,73.91000366
18375.0,28875.0,71.5
18625.0,28875.0,70.0
18875.0,28875.0,70.0
19125.0,28875.0,68.91000366
19375.0,28875.0,67.5
19625.0,28875.0,67.0
19875.0,28875.0,68.0
20125.0,28875.0,76.44000244
20375.0,28875.0,81.55000305
20625.0,28875.0,84.73000336
20875.0,28875.0,90.56999969
21125.0,28875.0,101.25
125.0,28625.0,146.94000241999998
375.0,28625.0,140.0
625.0,28625.0,146.13999939500002
875.0,28625.0,146.86999511
1125.0,28625.0,139.960006705
1375.0,28625.0,128.41000368
1625.0,28625.0,120.20999909
1875.0,28625.0,120.83999632
2125.0,28625.0,116.48999788
2375.0,28625.0,105.73000338
2625.0,28625.0,103.48000338
2875.0,28625.0,101.75
3125.0,28625.0,99.18000031
3375.0,28625.0,94.30000305
